,schema,model
9,timeseries_mfp,contract_type
11,timeseries_mfp,contract_status_type
12,timeseries_mfp,admin_level_type
17,timeseries_pathway,entitlement_type
18,timeseries_pathway,entitlement_category
19,timeseries_misc,pwy_eos_entitlement_map
23,timeseries_mfp,facility_type
24,timeseries_mfp,facility_status_type
26,timeseries_mfp,facility_name
28,timeseries_mfp,vendor_status_type
29,timeseries_mfp,vendor_reason_type
30,timeseries_mfp,agency_type
31,timeseries_mfp,tax_structure_type
32,timeseries_mfp,pms_type
36,timeseries_aes,person_alias
39,timeseries_ips2,levy_client_role_type
44,timeseries_ips2,comment
49,timeseries_eos_finapp,tocpartytopartyrelations
51,timeseries_orafin,hz_cust_accounts
53,timeseries_mfp,provider_status_type
54,timeseries_mfp,provider_reason_type
55,timeseries_mfp,provider_billing_method
80,timeseries_mfp,contract_item
89,timeseries_mfp,billing_method_type
90,timeseries_mfp,service_type_group
91,timeseries_mfp,sub_service_type_1
92,timeseries_mfp,sub_service_type_2
93,timeseries_mfp,sub_service_type_3
95,timeseries_mfp,treatment_limit
96,timeseries_mfp,contract_class_type
98,timeseries_misc,contract_service_hrchy
109,timeseries_eos_finapp,tocexternaldocumenttype
111,timeseries_eos_finapp,tocsimpleeformtype
112,timeseries_eos_finapp,toceformtype
117,timeseries_mfp,schedule_type
118,timeseries_mfp,schedule_category_type
119,timeseries_mfp,schedule_status_type
120,timeseries_mfp,schedule_line_status_typ
121,timeseries_mfp,sched_line_pay_status_ty
122,timeseries_mfp,service_line_status_type
130,timeseries_mfp,reason_type
144,timeseries_pathway,cost_transfer
151,timeseries_eos_finapp,tolcost
154,timeseries_eos_finapp,toreturnsdinstances
155,timeseries_eos_finapp,tosubsetinstance
156,global,load_batch_audit
157,timeseries_eos_finapp,toconholdactivitychange
158,timeseries_eos_finapp,tocmanoffholdactivitycha
159,timeseries_eos_finapp,toccancelactivitychange
160,timeseries_eos_finapp,toccloseactivitychange
161,timeseries_eos_finapp,toctargetdateactivitycha
163,presentation,cla_actvty_change_tr1
164,presentation,cla_actvty_change_tf1
165,presentation,cla_actvty_proctask_fact_tf1
166,presentation,rvw_review_td1
167,presentation,cla_cntct_actv_mttr_fact_tf1
172,presentation,clm_claim_tf1
173,edw,bd_weekly_comp_band_dn1
174,edw,bd_weekly_comp_days_band_dn1
177,presentation,age_band_td1
188,timeseries_eos_finapp,toccaselink
212,timeseries_eos_eosint,ref_entitlement_type_gl_code
213,presentation,pmt_invoice_service_line_tr1
220,presentation,pmt_payment_item_tr1
224,timeseries_mfp,provider_voc_class
239,timeseries_misc,mfp_ldap_user
240,timeseries_pathway,sec_user
241,timeseries_eos_finapp,trengagementform
244,timeseries_eos_finapp,taccinterventiontype
246,timeseries_eos_finapp,tplanphase
251,timeseries_hris,psoprdefn
252,timeseries_hris,ps_job
253,timeseries_hris,ps_org_struct_acc
254,timeseries_hris,ps_employees
255,timeseries_hris,ps_position_data
256,timeseries_hris,ps_location_tbl
257,timeseries_misc,function_location_map
258,timeseries_misc,hris_to_eos_map
259,timeseries_orafin,fnd_flex_value_norm_hier
260,timeseries_orafin,fnd_flex_values_tl
261,timeseries_orafin,fnd_flex_values
263,presentation,cd_acc_code_td1
264,timeseries_eos_finapp,tocpostaladdress
268,timeseries_orafin,hz_locations
269,timeseries_orafin,hz_parties
270,timeseries_orafin,ap_supplier_sites_all
271,timeseries_aes,person_address
272,presentation,cd_address_td1
276,timeseries_eos_finapp,tocprocesstype
277,timeseries_eos_finapp,toctransferactivitychange
280,timeseries_eos_finsec,tosgroup
282,edw,case_log_pre_eos_static_ta1
284,timeseries_eos_finapp,toccontactmedium
287,timeseries_mfp,mfp_contact
288,timeseries_mfp,mfp_contact_type
292,timeseries_ips2,levy_client_phone
294,timeseries_ips2,employer_contact
295,timeseries_ips2,employer_contact_type
298,timeseries_eos_finapp,tocpartyaddressversion
302,timeseries_eos_finapp,tocpartyaddress
306,timeseries_mfp,address_type
308,timeseries_ips2,levy_client_address
309,timeseries_ips2,address_type
311,global,infact_ref_data_desc_tg1
312,timeseries_ips2,employer_contact_address
320,timeseries_apex,acc_user
322,edw,bd_staff_dn1
323,timeseries_apex,acc_team
324,timeseries_apex,acc_branch
325,timeseries_apex,acc_role_hierarchy
336,edw,bd_office_dn1
338,timeseries_eos_finapp,trcareindicator
339,timeseries_eos_finapp,trimprisonmentindicator
340,timeseries_eos_finapp,trconvictedformurderindicator
341,timeseries_eos_finapp,trfraudindicator
342,timeseries_eos_finapp,trmanagementplan
343,timeseries_eos_finapp,trministerialsparty
344,timeseries_eos_finapp,trcomplaintsparty
345,timeseries_eos_finapp,tocextradatarelationship
354,presentation,duplicate_party_te1
355,timeseries_eos_finapp,taccethnicity
363,timeseries_eos_finapp,trvulnerablesituationindicator
366,presentation,client_vulnerable_stn_td1
368,timeseries_eos_finapp,tocinformationalindicator
371,presentation,cd_party_client_td1
372,timeseries_mfp,provider_alias
373,timeseries_mfp,vocational_class
374,timeseries_mfp,prof_reg_body_type
375,timeseries_mfp,specialty_type
376,timeseries_mfp,sub_specialty_type
377,presentation,cla_actvty_proctask_fact_tr1
382,timeseries_eos_finapp,tocreasonforchange
386,timeseries_eos_finapp,toctask
393,timeseries_eos_finapp,toccasetype
395,timeseries_eos_finapp,trregistercomplaint
401,timeseries_eos_finapp,tocemailcontact
404,timeseries_eos_finapp,trfeedbackcontactcategor
405,timeseries_eos_finapp,rocprtyoccontbscontacts
417,timeseries_eos_finapp,taccdatamap
464,timeseries_pathway,case_escalation
472,timeseries_eos_finapp,tolwageperiod
473,timeseries_eos_finapp,tolwagebase
485,presentation,cd_party_levy_payer_td1
486,presentation,cd_classification_unit_td1
487,timeseries_ips2,levy_client
488,presentation,lp_ips2_account_manager_td1
489,timeseries_ips2,lc_grouping_participatio
490,timeseries_ips2,levy_client_grouping
491,timeseries_ips2,levy_client_plan
492,timeseries_ips2,policy_application
493,timeseries_ips2,incentive_rate
494,presentation,cd_levy_plan_td1
500,timeseries_eos_finapp,trehabcasedetails
503,timeseries_aes,case_escalation
505,timeseries_aes,accident
509,timeseries_aes,person
539,global,infact_manual_hierarchy_tg1
543,timeseries_eos_finapp,taccclaimextensionholder
544,timeseries_eos_finapp,taccclaimmanagementcosts
545,timeseries_eos_finapp,taccclaimextensionbase
546,timeseries_eos_finapp,taccriskscorecalculation
547,timeseries_eos_finapp,tococcupation
549,work_presentation,clm_medcert_expiry_tw1
552,timeseries_eos_finapp,tolclaimdisabilitydetails
555,timeseries_eos_finapp,toccontact
556,timeseries_eos_finapp,tocdocument
557,timeseries_eos_finapp,tocworddocumenttype
559,timeseries_eos_finapp,tracc45claim
561,timeseries_eos_finapp,trcivildamagesindicator
562,timeseries_eos_finapp,trrepugnanttojusticeindicator
563,timeseries_eos_finapp,trwilfulselfinflictindicator
564,timeseries_eos_finapp,trrehabpwindicator
565,timeseries_eos_finapp,trmedical
566,timeseries_eos_finapp,trsocial
567,timeseries_eos_finapp,trvocational
568,timeseries_eos_finapp,trinitialinterviewscript
569,timeseries_eos_finapp,trnoncompliance
574,timeseries_eos_finapp,todomain
575,timeseries_pathway,impairment_injury
577,timeseries_pathway,manual_ia
578,timeseries_pathway,impairment_case
579,timeseries_pathway,impairment_outcome
582,timeseries_pathway,entitlement_rate
583,timeseries_pathway,case_basic
584,timeseries_pathway,entitlement
585,timeseries_pathway,entitlement_cost
589,timeseries_eos_finapp,tolmedicalimpairmentdetails
590,timeseries_eos_finapp,tolmedimpairmentassessment
594,timeseries_eos_finapp,tolmedicalcode
595,timeseries_pathway,icd_coding
596,timeseries_pathway,icd10_coding
597,timeseries_pathway,legacy_icd_coding
598,timeseries_pathway,read_coding
599,timeseries_pathway,legacy_read_coding
601,timeseries_pathway,injury_site
603,timeseries_eos_finapp,tolcodevaluelink
616,timeseries_aes,case_other
617,timeseries_aes,injury
618,timeseries_pathway,diagnosis
619,timeseries_eos_finapp,tolbenefit
623,timeseries_pathway,incapacity_period
627,timeseries_eos_finapp,tolclaimmedicaldetails
629,timeseries_eos_finapp,toccasetyperole
637,timeseries_eos_finapp,taccrehabilitationpath
644,timeseries_eos_finapp,trmedicalincapacity
645,timeseries_eos_finapp,taccclaimseriousinjurydetails
646,timeseries_eos_finapp,taccsiclinicaldetails
652,timeseries_eos_finapp,tacctreatmentcontext
657,presentation,cd_date_td1
662,timeseries_eos_finapp,tocprocessinstance
663,timeseries_eos_finapp,tocprocesstypeversion
664,timeseries_eos_finapp,trfeedbackdetails
665,timeseries_eos_finapp,tocextradata
668,presentation,po_line_status_td1
671,timeseries_mfp,provider
672,timeseries_mfp,vendor
673,timeseries_mfp,mfp_location_type
674,timeseries_mfp,mfp_address_detail
686,timeseries_eos_finapp,tolpaymenteventinterface
687,timeseries_eos_finapp,tolpaymentlinegrpforcase
690,timeseries_eos_finapp,tolclaimdetailsforint
696,timeseries_eos_finsec,tosuser
699,timeseries_eos_finapp,tolfixedamountincreaseinstr
700,timeseries_eos_finapp,tollocalmoneyamount
701,timeseries_eos_finapp,tolallocationinstruction
702,timeseries_eos_finapp,rpymntvntallctninallocationins
705,timeseries_eos_finapp,tolpaymentline
706,timeseries_eos_finapp,tolpaymentlinegrpfordueevent
707,timeseries_eos_finapp,tolpaymentdetailsforint
711,timeseries_mfp,contract
715,timeseries_pathway,payroll_issue_trans
725,timeseries_pathway,account_code
726,timeseries_pathway,manual_reimbursement
730,timeseries_aes,aedeletes
731,timeseries_aes,case_basic
732,timeseries_aes,employer_cost
738,timeseries_eos_finapp,tocpartycaserole
739,timeseries_eos_finapp,toltaxroledataset
740,timeseries_eos_finapp,tolpaymentoutevent
741,timeseries_eos_finapp,tolrequestpaymentevent
742,timeseries_eos_finapp,toltaxtypedetails
746,presentation,pmt_payment_item_tu1
754,presentation,po_line_fact_tr1
759,timeseries_mfp,facility
762,timeseries_eos_finapp,tocorganisation
765,timeseries_eos_finapp,tocperson
766,timeseries_eos_finapp,taccpurchaseorderparty
780,timeseries_eos_finapp,tolapprovalgroup
781,timeseries_eos_finapp,tolservicesholder
784,timeseries_eos_finapp,tolservicedefinition
790,global,infact_ref_data_lookup_tg1
791,timeseries_eos_finapp,taccintervention
792,timeseries_eos_finapp,tollimit
793,timeseries_eos_finapp,tolapprovaldecision
794,timeseries_eos_finapp,todomaininstance
807,timeseries_mfp,gl_journal_control
808,timeseries_mfp,schedule_deduction
810,timeseries_mfp,master_item
811,timeseries_mfp,service_approval_line
812,timeseries_mfp,schedule_line_payment
813,timeseries_mfp,payment
814,timeseries_mfp,payment_detail
815,presentation,schedule_line_pymt_dup_te1
821,timeseries_mfp,service_line
824,timeseries_mfp,schedule_line
825,timeseries_mfp,schedule_header
826,presentation,service_line_rev_adj_te1
827,timeseries_eos_finapp,taccclaimtreatmentdetails
828,timeseries_eos_finapp,tolclaim
830,timeseries_eos_finapp,tacctreatmentcoverorreas
831,edw,ti_static_medmis_claims_ts1
832,edw,ti_static_treat_inj_patsaf_ts1
833,timeseries_eos_finapp,toccasealias
834,timeseries_eos_finapp,toccase
